Size AVL-IterInsert AVL-RecurInsert
1 1929 427
2 876 254
3 952 337
4 1116 299
5 1051 418
6 1206 410
7 1229 367
8 1212 358
9 1175 462
10 1341 463
11 1359 445
12 1301 418
13 1326 427
14 1281 475
15 1318 479
16 1336 444
17 1279 559
18 1477 509
19 1382 493
20 1489 548
21 1457 560
22 1487 566
23 1462 545
24 1492 507
25 1429 504
26 1375 472
27 1569 483
28 1494 591
29 1444 623
30 1475 525
31 1438 492
32 1492 527
33 1409 599
34 1569 577
35 1592 592
36 1608 575
37 1617 643
38 1656 630
39 1627 552
40 1592 562
41 1614 635
42 1609 626
43 1637 600
44 1626 628
45 1660 631
46 1669 553
47 1605 575
48 1592 593
49 1570 630
50 1592 605
51 1587 616
52 1634 614
53 1679 590
54 1607 598
55 1639 613
56 1619 602
57 1668 642
58 1570 540
59 1617 591
60 1624 605
61 1656 649
62 1645 582
63 1670 590
64 1588 508
65 1511 635
66 1705 669
67 1721 649
68 1751 664
69 1747 683
70 1769 699
71 1731 637
72 1713 638
73 1660 671
74 1660 629
75 1697 647
76 1711 666
77 1713 638
78 1774 660
79 1761 667
80 1744 644
81 1717 624
82 1776 703
83 1717 683
84 1812 716
85 1657 579
86 1775 694
87 1709 644
88 1748 658
89 1719 665
90 1760 652
91 1750 623
92 1767 675
93 1757 671
94 1720 631
95 1761 657
96 1806 659
97 1718 647
98 1713 628
99 1668 629
100 1697 612
101 1813 694
102 1729 679
103 1759 676
104 1689 641
105 1710 626
106 1745 630
107 1732 638
108 1757 673
109 1715 617
110 1758 668
111 1758 640
112 1822 637
113 1769 657
114 1775 649
115 1784 693
116 1801 682
117 1767 724
118 1797 639
119 1772 655
120 1746 622
121 1757 649
122 1948 609
123 1828 690
124 1767 679
125 1774 667
126 1827 675
127 1816 677
128 1751 644
129 1732 755
130 1858 731
131 1843 730
132 1892 727
133 1879 763
134 1850 734
135 1911 764
136 1865 702
137 1823 663
138 1893 697
139 1897 826
140 1820 735
141 1825 681
142 1877 746
143 1930 712
144 1955 708
145 1800 690
146 1863 696
147 1877 779
148 1846 744
149 1891 709
150 1922 757
151 1837 706
152 1872 715
153 1893 719
154 1855 697
155 1947 763
156 1951 772
157 1932 737
158 1903 790
159 1876 709
160 1886 685
161 1886 766
162 1906 750
163 1907 729
164 1892 839
165 1884 711
166 1896 726
167 1903 741
168 2032 715
169 1898 740
170 1863 663
171 1898 719
172 1828 662
173 1775 655
174 1909 707
175 1883 717
176 1846 703
177 1846 712
178 1780 689
179 1814 644
180 1814 694
181 1907 764
182 1941 717
183 1935 747
184 1938 784
185 1858 768
186 1946 787
187 1954 756
188 1986 782
189 1941 792
190 1928 745
191 1959 742
192 1943 731
193 1899 828
194 1915 802
195 1809 715
196 1843 681
197 1845 752
198 1879 764
199 1930 792
200 1967 774
201 1858 767
202 1940 740
203 1902 732
204 1917 792
205 1909 732
206 1903 727
207 1947 760
208 1944 767
209 1848 721
210 1930 795
211 1962 766
212 1888 780
213 1956 755
214 1852 692
215 1949 749
216 1923 774
217 1877 727
218 1939 740
219 1853 633
220 1857 694
221 1909 808
222 1934 739
223 1930 751
224 1917 729
225 1939 775
226 1899 759
227 1906 767
228 1921 756
229 1935 754
230 1934 757
231 1932 763
232 1913 704
233 1887 705
234 1844 664
235 1833 686
236 1856 698
237 1856 720
238 1892 728
239 1860 645
240 1839 655
241 1889 711
242 1896 707
243 1871 705
244 1921 700
245 1937 724
246 1914 710
247 1909 718
248 1947 702
249 1899 726
250 1976 777
251 1968 753
252 1917 728
253 1929 742
254 1911 747
255 1948 744
256 2032 732
257 1871 812
258 1979 769
259 1988 804
260 1962 728
261 1977 802
262 2007 897
263 2022 825
264 2069 852
265 2007 842
266 2051 839
267 2007 815
268 2072 841
269 2053 825
270 2022 790
271 1997 808
272 2055 820
273 2000 807
274 2043 844
275 1992 795
276 2003 809
277 1990 792
278 2036 824
279 2080 855
280 2100 888
281 2030 792
282 2052 833
283 2052 837
284 1998 758
285 1980 771
286 2672 805
287 2036 813
288 2118 850
289 2006 804
290 2038 827
291 1952 762
292 2039 809
293 2066 831
294 2080 817
295 2104 850
296 2053 784
297 2073 837
298 2053 823
299 1971 768
300 1941 717
301 1939 727
302 1946 751
303 2031 822
304 2059 875
305 2024 843
306 2024 830
307 2002 797
308 2054 797
309 1989 768
310 2025 805
311 2043 824
312 2020 812
313 2019 795
314 2023 788
315 2016 821
316 2015 770
317 1955 740
318 2046 779
319 2073 828
320 2092 789
321 2028 866
322 2028 846
323 2082 864
324 2004 819
325 2063 824
326 2095 862
327 2058 803
328 2066 835
329 1983 750
330 2009 803
331 2041 783
332 2016 787
333 2019 780
334 2009 814
335 2008 799
336 2059 852
337 2083 860
338 2065 847
339 2026 819
340 2028 841
341 2138 801
342 1951 733
343 2059 792
344 2062 857
345 2103 835
346 2078 837
347 2114 850
348 2103 855
349 2057 777
350 2094 832
351 2109 870
352 2092 870
353 2038 890
354 2061 864
355 2071 858
356 2053 864
357 2070 869
