Size BST-InsertMine BST-InsertOther
1 175 38
2 39 43
3 59 51
4 60 56
5 61 60
6 69 69
7 80 71
8 75 71
9 86 82
10 93 89
11 87 85
12 89 87
13 86 89
14 87 86
15 116 115
16 118 118
17 139 142
18 122 124
19 121 121
20 131 130
21 151 150
22 154 157
23 165 157
24 148 147
25 165 165
26 159 153
27 136 136
28 155 153
29 182 179
30 151 152
31 164 165
32 174 174
33 197 195
34 181 187
35 193 192
36 197 194
37 207 203
38 209 212
39 209 211
40 223 220
41 222 217
42 241 244
43 237 239
44 247 247
45 242 241
46 379 235
47 241 241
48 240 240
49 245 248
50 257 255
51 285 279
52 277 280
53 284 283
54 268 270
55 577 289
56 288 285
57 291 293
58 284 311
59 296 297
60 300 300
61 317 314
62 307 308
63 324 324
64 303 300
65 317 322
66 354 310
67 338 335
68 356 354
69 349 348
70 363 367
71 344 337
72 353 357
73 496 345
74 360 363
75 386 390
76 396 395
77 405 400
78 377 380
79 399 399
80 377 374
81 392 415
82 400 404
83 420 418
84 423 422
85 401 401
86 422 422
87 440 434
88 447 450
89 460 457
90 777 464
91 599 455
92 474 468
93 478 470
94 472 472
95 496 489
96 484 481
97 493 492
98 490 487
99 487 489
100 490 488
101 494 493
102 491 497
103 491 488
104 502 637
105 520 516
106 502 506
107 515 512
108 517 516
109 526 554
110 559 561
111 525 525
112 541 536
113 554 558
114 564 563
115 576 576
116 569 570
117 584 581
118 582 580
119 592 583
120 587 585
121 589 593
122 592 590
123 612 610
124 627 628
125 624 627
126 640 635
127 632 627
128 637 635
129 660 654
130 645 644
131 657 654
132 636 633
133 660 660
134 657 660
135 672 664
136 672 2423
137 661 654
138 660 655
139 679 678
140 669 668
141 690 689
142 685 691
143 662 662
144 692 687
145 685 689
146 702 695
147 708 711
148 714 717
149 716 713
150 719 719
151 719 716
152 722 726
153 733 733
154 740 744
155 743 752
156 842 862
157 743 735
158 756 757
159 752 986
160 773 829
161 793 887
162 772 1012
163 777 776
164 1036 794
165 812 806
166 796 898
167 817 812
168 865 813
169 818 825
170 800 806
171 810 877
172 794 910
173 800 798
174 802 805
175 828 865
176 812 814
177 831 941
178 822 822
179 785 784
180 859 798
181 812 985
182 826 824
183 826 825
184 813 864
185 821 817
186 821 822
187 838 835
188 979 845
189 848 902
190 864 863
191 1536 909
192 856 864
193 879 882
194 961 880
195 919 864
196 867 872
197 888 889
198 2110 911
199 916 917
200 903 903
201 903 897
202 905 901
203 915 917
204 923 930
205 948 945
206 909 912
207 913 914
208 998 926
209 929 939
210 953 946
211 965 963
212 961 952
213 962 963
214 960 963
215 976 971
216 996 1002
217 975 976
218 984 977
219 966 968
220 985 984
221 1002 1000
222 1028 1025
223 1042 1034
224 1048 1037
225 1029 1032
226 1064 1053
227 1062 1063
228 1078 1078
229 1072 1127
230 1084 1083
231 1092 1250
232 1082 1082
233 1539 1072
234 1042 1057
235 1017 1010
236 1024 1027
237 1145 1034
238 1068 1044
239 1034 1033
240 1075 1073
241 1085 1081
242 1092 1090
243 1089 1092
244 1087 1082
245 1102 1103
246 1104 1102
247 1098 1099
248 1125 1123
249 1178 1127
250 1137 1138
251 1138 1140
252 1138 1143
253 1145 1147
254 1155 1154
255 1155 1159
256 1155 1159
257 1158 1162
258 1160 1161
259 1172 1176
260 1161 1161
261 1185 1185
262 1192 1192
263 1200 1201
264 1213 1214
265 1212 1214
266 1216 1215
267 1228 1229
268 1220 1221
269 1224 1226
270 1234 1236
271 1242 1243
272 1297 1250
273 1348 1274
274 1265 1265
275 1268 1269
276 1257 1261
277 1267 1262
278 1289 1296
279 1314 1310
280 1291 1308
281 1374 1304
282 1305 1304
283 1317 1319
284 1269 1266
285 1287 1290
286 1304 1302
287 1316 1432
288 1324 1324
289 1314 1317
290 1739 1362
291 1341 1336
292 1336 1341
293 1349 1497
294 1360 1429
295 1367 1361
296 1356 1352
297 1369 1365
298 1415 1372
299 1379 1365
300 1312 1319
301 1329 1329
302 1342 1340
303 1348 1611
304 1341 1344
305 1365 1364
306 1380 1382
307 1389 1384
308 1385 1647
309 1396 1390
310 1563 1405
311 1777 1409
312 1378 1381
313 1397 1392
314 1402 1400
315 1384 1385
316 1385 1384
317 1388 1389
318 1399 1401
319 1419 1530
320 1416 1414
321 1435 1438
322 1444 1439
323 1441 1437
324 1431 1432
325 1555 1459
326 1482 1463
327 1461 1456
328 1451 1448
329 1457 1460
330 1452 1448
331 1469 1470
332 1484 1480
333 1476 1476
334 1464 1467
335 1466 1471
336 1485 1487
337 1496 1495
338 1495 1493
339 1499 1498
340 1507 1507
341 1507 1515
342 1519 1516
343 1611 1536
344 1541 1548
345 1551 1554
346 1610 1857
347 1636 1624
348 1623 1631
349 1606 1620
350 1594 1587
351 1587 1852
352 1810 1609
353 1615 1611
354 1615 1613
355 1612 1612
356 1614 1614
357 1637 1639
358 1834 1637
359 1635 1636
360 1639 1644
361 1603 1599
362 1620 1616
363 1610 1663
364 1623 1628
365 1646 1642
366 1717 1703
367 1682 1636
368 1658 1657
369 1658 1665
370 1670 1673
371 1685 1684
372 1668 1668
373 1672 1669
374 1703 1688
375 1661 1664
376 1811 1655
377 1667 1666
378 1680 1678
379 1696 1696
380 1698 1701
381 1706 1705
382 1647 1648
383 1677 1674
384 1657 1656
385 1899 1684
386 1695 1693
387 1682 1682
388 1689 1690
389 1684 1691
390 1707 1702
391 1714 1711
392 1722 1725
393 1941 1736
394 1732 1735
395 1732 1730
396 1741 1748
397 1741 1741
398 1753 1756
399 1757 1830
400 1810 1764
401 1760 1764
402 1766 1767
403 1735 1733
404 1847 1752
405 1754 1753
406 1770 1770
407 1778 1782
408 1778 1782
409 1778 1781
410 1787 1793
411 1798 1789
412 1799 1800
413 1796 1793
414 1804 1801
415 1813 1812
416 1826 1833
417 1835 1835
418 1869 1824
419 1839 1835
420 1986 1869
421 1875 1876
422 1983 1889
423 1849 1850
424 1892 1872
425 1868 1868
426 1881 1890
427 1888 1890
428 2137 1914
429 2070 1931
430 1979 1908
431 1906 1912
432 2244 1878
433 1909 1914
434 1923 1928
435 1900 1907
436 1923 1919
437 1921 2224
438 1903 1904
439 1920 1921
440 1919 1920
441 1937 1933
442 1954 1956
443 1955 2115
444 1945 1942
445 1950 2246
446 1953 1946
447 1949 1947
448 1952 1949
449 1987 1992
450 2000 2012
451 2004 1995
452 2005 2002
453 2027 2018
454 2007 2112
455 2007 2008
456 2006 2006
457 2004 2005
458 2036 2197
459 2045 2044
460 2023 2019
461 2033 2137
462 2029 2027
463 2047 2050
464 2075 2067
465 2050 2056
466 2246 2246
467 2035 2032
468 2035 2041
469 2060 2207
470 2108 2098
471 2110 2105
472 2103 2109
473 2106 2108
474 2119 2117
475 2221 2067
476 2075 2077
477 2384 2085
