Size BST-Insert AVL-Insert BST-Find AVL-Find
1 329 37 16 17
2 37 52 15 15
3 37 58 29 39
4 73 77 21 17
5 70 87 51 44
6 81 96 28 55
7 79 102 62 24
8 78 83 37 16
9 73 82 79 70
10 97 95 44 30
11 92 88 77 48
12 97 82 59 25
13 93 80 74 72
14 91 65 59 30
15 126 103 91 18
16 119 101 80 18
17 127 119 106 55
18 132 98 86 30
19 125 87 128 32
20 139 100 108 24
21 145 119 123 67
22 152 135 105 37
23 158 128 128 55
24 152 93 116 23
25 169 118 129 74
26 160 98 120 35
27 143 110 149 91
28 160 100 127 39
29 184 121 154 108
30 154 84 139 58
31 170 102 170 26
32 177 105 208 17
33 187 132 195 106
34 185 105 157 43
35 195 120 193 56
36 197 120 181 21
37 205 130 199 81
38 207 135 187 40
39 206 124 232 38
40 222 115 184 23
41 223 120 232 116
42 240 142 203 52
43 238 112 263 89
44 244 121 220 49
45 247 122 258 81
46 238 99 217 48
47 244 98 274 41
48 246 92 233 20
49 247 122 254 113
50 259 125 240 52
51 279 140 267 74
52 283 119 250 38
53 287 124 236 86
54 269 110 239 51
55 287 111 307 62
56 291 105 294 30
57 297 123 297 102
58 286 107 277 52
59 299 119 250 88
60 305 102 235 46
61 314 123 295 90
62 307 94 282 51
63 320 113 302 27
64 309 101 272 23
65 314 200 318 118
66 313 104 282 48
67 337 125 305 86
68 357 125 294 42
69 353 133 332 117
70 370 135 307 58
71 340 107 352 63
72 357 113 321 26
73 345 119 371 125
74 366 110 321 54
75 384 138 352 60
76 391 139 332 45
77 400 157 391 84
78 383 109 350 53
79 407 126 389 42
80 380 104 374 23
81 392 130 406 125
82 447 122 378 64
83 418 131 396 82
84 422 122 361 46
85 404 112 463 90
86 417 110 397 58
87 439 127 439 52
88 451 135 421 40
89 455 161 478 127
90 452 137 430 64
91 450 132 441 116
92 461 134 437 57
93 470 141 469 106
94 469 131 454 63
95 490 138 474 28
96 480 120 462 21
97 485 149 449 99
98 482 101 428 58
99 484 104 498 66
100 485 98 484 47
101 489 113 487 92
102 495 95 459 57
103 477 119 502 50
104 492 112 491 37
105 514 147 532 117
106 494 102 518 64
107 509 109 517 81
108 511 113 512 53
109 518 141 555 114
110 554 142 522 70
111 517 99 567 59
112 532 111 557 31
113 622 142 579 97
114 557 127 558 59
115 571 133 557 103
116 563 132 545 56
117 575 141 596 110
118 577 130 569 62
119 577 125 589 53
120 584 108 586 39
121 586 139 626 107
122 587 97 593 71
123 605 123 631 97
124 612 130 622 58
125 615 142 623 102
126 619 133 613 72
127 629 125 611 21
128 630 122 600 14
129 634 144 632 111
130 636 121 615 51
131 642 125 640 90
132 630 112 627 46
133 648 145 671 90
134 655 125 655 56
135 658 132 672 40
136 660 126 653 28
137 652 135 686 92
138 654 104 678 53
139 670 137 744 87
140 665 108 709 53
141 689 138 693 125
142 687 121 674 67
143 657 116 711 42
144 687 137 700 33
145 682 145 695 84
146 697 133 690 52
147 710 131 655 77
148 716 136 646 45
149 707 142 691 84
150 719 150 663 63
151 716 131 685 63
152 720 124 655 39
153 735 143 692 107
154 737 124 662 62
155 751 140 804 74
156 886 153 792 52
157 731 126 812 105
158 752 124 775 74
159 746 113 772 37
160 758 125 766 24
161 769 162 789 129
162 758 114 784 71
163 770 135 823 100
164 786 139 794 56
165 801 158 803 128
166 800 124 783 75
167 809 138 819 76
168 805 115 912 48
169 818 140 930 141
170 806 127 825 81
171 811 123 885 130
172 794 127 867 76
173 797 128 806 134
174 799 119 777 80
175 819 138 871 81
176 813 114 840 47
177 824 150 832 127
178 821 105 802 79
179 790 132 899 122
180 794 130 869 73
181 809 139 1041 128
182 824 146 884 94
183 818 146 874 72
184 813 132 848 48
185 819 126 881 123
186 822 124 852 78
187 840 141 894 93
188 847 132 868 65
189 846 137 882 112
190 860 139 865 82
191 845 127 959 39
192 860 124 955 22
193 870 168 1013 154
194 879 134 989 84
195 897 128 962 95
196 868 118 950 59
197 882 127 971 89
198 892 127 967 62
199 905 135 976 45
200 895 122 964 37
201 892 138 949 107
202 899 122 947 68
203 915 128 1069 98
204 919 120 1055 76
205 935 147 1011 140
206 905 114 992 86
207 908 112 947 70
208 928 126 944 43
209 931 136 977 110
210 947 140 952 71
211 1065 145 1030 104
212 955 126 1025 73
213 958 139 1041 112
214 959 127 1037 86
215 965 122 1002 90
216 995 142 980 48
217 970 126 1018 121
218 977 108 985 73
219 967 129 993 102
220 978 131 961 65
221 998 148 991 127
222 1017 154 988 86
223 1045 156 1084 101
224 1052 155 1079 61
225 1031 187 1120 155
226 1054 153 1102 97
227 1064 137 1132 136
228 1073 146 1114 78
229 1075 128 1086 123
230 1088 151 1055 87
231 1099 154 1139 127
232 1079 130 1117 87
233 1068 125 1119 124
234 1060 117 1088 82
235 1008 135 1181 84
236 1022 142 1170 74
237 1055 132 1209 117
