Size BST-Insert AVL-Insert BST-Find AVL-Find
1 509 49 27 24
2 40 53 17 20
3 42 62 27 40
4 74 78 23 21
5 68 87 50 44
6 369 97 30 55
7 79 98 60 29
8 75 85 39 17
9 76 85 80 70
10 99 95 49 30
11 98 97 76 46
12 96 83 58 23
13 95 82 80 76
14 91 68 64 35
15 603 108 96 15
16 118 101 82 15
17 132 122 113 62
18 131 97 87 30
19 130 84 135 28
20 141 98 106 19
21 144 114 125 67
22 152 128 104 40
23 160 126 126 52
24 155 86 111 21
25 170 112 132 76
26 162 99 120 34
27 149 106 148 94
28 161 110 125 35
29 184 113 151 103
30 156 87 143 50
31 166 98 177 30
32 178 102 146 14
33 184 126 192 98
34 184 99 165 45
35 197 116 195 59
36 202 121 189 27
37 210 128 206 88
38 212 125 190 43
39 212 119 234 38
40 222 112 188 20
41 225 124 238 115
42 240 141 206 51
43 241 117 263 88
44 243 125 221 49
45 251 127 259 85
46 239 97 222 53
47 335 98 272 36
48 248 95 238 17
49 247 123 258 122
50 259 127 237 56
51 283 142 274 79
52 285 118 254 39
53 292 122 245 85
54 270 103 239 52
55 291 113 310 61
56 295 104 300 30
57 302 122 301 100
58 293 107 283 52
59 308 123 251 79
60 308 106 238 48
61 319 119 300 97
62 312 95 284 53
63 324 108 309 32
64 310 100 274 20
65 318 127 323 122
66 320 106 286 46
67 341 122 311 84
68 360 124 295 44
69 355 134 336 107
70 371 133 312 55
71 342 105 353 63
72 364 108 323 27
73 354 120 380 120
74 364 110 331 59
75 397 146 348 58
76 396 139 334 41
77 405 161 392 85
78 388 108 357 57
79 413 131 397 44
80 382 105 379 25
81 394 129 417 129
82 409 125 386 64
83 424 135 403 80
84 423 125 362 50
85 407 116 429 99
86 420 109 405 62
87 445 126 445 54
88 504 137 431 41
89 460 160 491 121
90 459 140 434 66
91 460 137 442 115
92 470 133 442 65
93 475 138 472 105
94 476 131 458 64
95 492 141 478 29
96 489 117 468 20
97 489 150 459 101
98 489 105 433 53
99 488 108 509 60
100 490 94 492 45
101 496 112 488 91
102 494 93 466 58
103 490 119 510 54
104 499 115 497 42
105 522 148 540 112
106 503 102 520 60
107 515 111 525 82
108 518 114 520 55
109 525 137 564 124
110 563 141 529 70
111 525 106 577 60
112 541 116 565 33
113 566 147 587 101
114 569 126 565 58
115 578 137 562 99
116 569 130 554 57
117 576 137 602 102
118 580 136 579 64
119 587 125 594 55
120 607 108 592 42
121 592 130 639 102
122 593 101 601 67
123 613 128 639 100
124 624 132 633 60
125 628 145 635 102
126 630 132 620 67
127 637 121 633 22
128 638 122 612 18
129 645 147 642 112
130 645 122 620 54
131 650 125 647 80
132 635 113 634 46
133 659 145 679 94
134 656 124 664 53
135 665 133 682 42
136 672 125 665 27
137 657 131 697 88
138 659 104 677 57
139 686 136 755 89
140 679 110 718 54
141 704 141 696 122
142 696 115 682 69
143 672 116 722 41
144 699 137 711 32
145 690 148 707 90
146 708 135 699 55
147 717 134 663 84
148 726 140 652 48
149 720 145 694 94
150 727 144 672 65
151 727 130 694 58
152 729 123 665 38
153 896 145 702 106
154 747 120 673 64
155 767 142 812 68
156 769 158 804 56
157 747 129 825 105
158 767 122 789 72
159 812 115 783 35
160 767 127 1033 26
161 786 170 803 130
162 770 110 795 76
163 787 135 835 95
164 800 140 942 59
165 817 157 808 117
166 858 122 801 79
167 828 139 836 72
168 826 117 820 46
169 823 146 844 128
170 945 122 837 83
171 824 126 891 127
172 802 130 881 77
173 807 132 819 136
174 813 117 788 85
175 831 133 882 84
176 824 108 857 46
177 836 155 844 126
178 830 107 813 77
179 800 133 917 120
180 805 132 884 77
181 820 142 907 123
182 830 142 893 90
183 887 143 887 67
184 824 135 858 51
185 830 126 895 126
186 836 124 867 82
187 856 142 915 99
188 861 131 883 66
189 855 141 897 109
190 869 139 877 79
191 856 127 972 43
192 882 127 968 21
193 887 172 1024 153
194 888 137 1003 78
195 868 130 978 99
196 879 114 959 66
197 889 130 986 91
198 906 125 980 64
199 914 132 991 47
200 910 125 978 40
201 904 135 962 109
202 914 122 956 65
203 926 127 1087 98
204 934 122 1069 74
205 946 152 1021 140
206 918 112 1004 85
207 920 111 960 73
208 936 125 952 46
209 941 139 990 107
210 955 138 962 70
211 978 146 1045 108
212 965 131 1042 74
213 972 138 1058 110
214 970 124 1058 83
215 976 124 1010 90
216 1001 142 993 48
217 989 130 1032 122
218 989 111 1006 73
219 982 136 1015 104
220 992 135 971 67
221 1012 205 1004 120
222 1029 157 998 87
223 1059 158 1095 106
224 1066 158 1095 66
225 1176 188 1129 167
226 1068 160 1122 102
227 1167 142 1148 137
228 1086 147 1129 83
229 1087 136 1100 118
230 1096 150 1066 84
231 1112 154 1156 128
232 1098 134 1130 88
233 1082 125 1132 117
234 1071 115 1149 84
235 1031 138 1202 85
236 1037 141 1232 77
237 1073 142 1228 116
238 1075 132 1215 87
239 1071 104 1224 67
240 1077 116 1215 57
241 1131 152 1237 135
242 1103 135 1219 90
243 1102 129 1218 154
244 1183 119 1207 99
245 1111 188 1280 187
246 1120 127 1260 117
247 1112 118 1247 144
248 1131 129 1220 89
249 1132 144 1219 140
250 1146 137 1192 90
251 1157 140 1328 94
252 1155 147 1298 79
253 1163 145 1303 144
254 1173 174 1291 105
255 1171 147 1299 64
256 1178 132 1264 43
257 1175 150 1271 162
258 1175 115 1243 88
259 1187 127 1314 132
260 1182 132 1301 84
261 1337 149 1317 135
262 1207 145 1273 89
263 1214 139 1394 137
264 1228 147 1343 78
265 1228 176 1383 159
266 1248 167 1370 96
267 1237 171 1374 109
268 1231 164 1366 74
269 1238 145 1411 116
270 1250 145 1405 79
271 1253 141 1388 57
272 1255 155 1385 193
273 1308 209 1380 124
274 1285 172 6410 98
275 1301 170 1542 97
276 1284 158 1420 69
277 1345 145 1506 132
278 1313 160 1472 93
279 1335 162 1432 104
280 1384 146 1556 65
281 1328 156 1394 142
282 1333 133 1367 94
283 1346 151 1447 106
284 1600 140 1963 80
285 1381 154 1437 182
286 1357 152 1428 115
287 1354 170 1578 100
288 1353 167 1499 68
289 1345 174 1519 130
290 1372 136 1421 84
291 1344 140 1513 137
292 1394 137 1509 75
293 1383 152 1479 169
294 1373 152 1464 101
295 1446 166 1422 70
296 1378 157 1566 59
297 1398 166 1558 118
298 1401 161 1637 80
299 1403 148 1583 121
300 1339 131 1574 84
301 1355 139 1577 96
302 1449 135 1571 84
303 1377 151 1600 69
304 1367 150 1592 59
305 1457 190 1670 131
306 1410 166 1601 95
307 1404 183 1620 99
308 1405 181 1604 81
309 1397 141 1612 161
310 1425 178 1579 104
311 1419 190 1610 82
312 1487 131 1587 69
313 1441 155 1603 139
314 1435 144 1589 97
315 1419 128 1593 135
316 1420 117 1850 103
317 1431 130 1705 163
318 1442 132 1678 110
319 1454 136 1710 52
320 1465 142 1695 40
321 1477 197 1718 153
322 1487 150 1693 97
323 1474 148 1681 130
324 1472 125 1657 79
325 1492 138 1713 136
326 1497 164 1702 95
327 1495 148 1665 129
328 1489 163 1644 77
329 1491 135 1674 156
330 1485 132 1649 110
331 1502 142 1785 105
332 1519 145 1712 79
333 1511 144 1713 142
334 1500 117 1693 106
335 1500 122 1814 100
336 1519 134 1799 71
337 1535 160 1787 130
338 1570 140 1780 99
339 1533 132 1809 117
340 1542 128 1800 89
341 1698 136 1805 112
342 1554 126 1803 89
343 1569 151 1673 116
344 1582 150 1662 85
345 1600 175 1694 125
346 1606 163 1683 89
347 1598 156 1827 93
348 1600 182 1809 77
349 1601 161 1841 107
350 1935 160 1809 86
351 1679 154 1702 65
352 1617 157 1584 52
353 1617 188 1853 150
354 1653 169 1850 99
355 1624 147 1723 112
356 1629 140 1717 84
357 1645 152 1507 163
358 1664 145 1490 104
359 1921 136 1535 134
360 1652 156 1527 88
361 1606 149 1725 163
362 1658 130 1692 96
363 1620 126 1710 170
364 1642 130 1682 100
365 1649 150 1973 153
366 1659 144 1795 101
367 1655 176 1753 77
368 1667 149 1732 69
369 1676 172 1747 145
370 1686 154 1720 102
371 1701 192 1736 113
372 1686 137 1708 80
373 1680 145 1843 137
374 1692 150 1827 95
375 1674 132 1856 89
376 1775 123 1837 72
377 1690 143 1862 111
378 1703 140 1854 83
379 1725 153 1813 122
380 1725 140 1921 89
381 1727 153 1898 148
382 1669 134 1949 108
383 1699 183 1847 55
384 1681 127 1917 39
385 1714 188 1860 206
386 1720 140 1819 122
387 1709 130 1934 139
388 1720 141 1909 86
389 1712 137 1943 138
390 1721 133 1950 88
391 1727 142 1688 108
392 1747 149 1684 71
393 1754 179 1824 118
394 1751 148 1822 86
395 1753 155 1972 106
396 1756 147 1940 72
397 1757 152 1919 188
398 1774 155 1901 113
399 1783 154 1984 66
400 1796 146 1961 55
401 1784 157 1794 110
402 1787 139 1782 82
403 1756 129 1892 77
404 1768 125 1879 71
405 1781 140 2028 114
406 1800 132 2007 92
407 1806 155 1847 82
408 1806 150 1827 64
409 1807 144 1839 113
410 1810 151 1824 84
411 1815 148 1909 91
412 1833 146 1904 76
413 1827 147 1968 172
414 1830 136 1944 103
415 1832 136 1967 77
416 1849 142 1962 57
417 1855 182 1951 124
418 1845 138 2046 82
419 1865 143 2000 125
420 1877 142 1987 91
421 1880 161 2188 112
422 1865 137 2078 84
423 1874 135 1834 129
424 1893 148 1811 76
425 1895 156 2040 140
426 1901 149 2163 92
427 1906 152 2144 102
428 1904 163 2330 88
429 2057 170 2077 172
430 1914 145 2105 119
431 2039 143 1962 72
432 1900 134 1936 55
433 1932 184 2187 115
434 1940 149 2179 88
435 1926 139 2167 103
436 1942 135 2153 77
437 1940 132 1890 133
438 1996 129 1885 102
439 1931 137 2198 111
440 1942 132 2183 75
441 1956 157 1872 194
442 1967 138 1850 114
443 1971 141 2021 144
444 1965 131 1980 98
445 1974 139 1987 164
446 1960 127 1969 112
447 1959 120 1937 65
448 1970 120 1916 52
449 2170 182 2034 168
450 2015 150 2003 96
451 2009 146 1986 187
452 2019 166 2073 102
453 2039 182 1977 174
454 2024 133 1958 119
455 2030 140 2021 119
456 2024 129 1960 81
457 2027 140 2095 143
458 2053 159 2082 108
459 2058 150 2055 117
460 2037 122 2042 101
461 2047 135 2074 165
462 2041 118 2044 121
463 2060 141 2077 73
464 2077 157 2067 67
465 2078 157 2079 151
466 2098 152 2048 93
467 2055 127 2028 122
468 2056 118 2026 87
469 2076 139 1959 142
470 2098 148 2008 100
471 2118 166 2291 91
472 2112 147 2295 69
473 2115 169 2260 124
474 2120 157 2847 92
