Size BST-Insert BST-Find AVL-Insert ABL-Find
100 76590 2849 57088 805
200 153627 5712 114681 1597
300 229717 8565 171624 2384
400 305947 11391 228473 3164
500 383472 14339 286491 3968
600 459467 17195 343227 4754
700 535393 20088 400018 5536
800 611898 22963 457238 6320
900 688092 25844 514042 7097
1000 764386 28687 570848 7877
1500 840521 31552 627857 8668
2000 916766 34389 684739 9453
2500 992930 37258 741628 10240
3000 1071433 40097 800297 11025
3500 1147592 42929 857274 11808
4000 1223908 45783 914306 12593
4500 1300083 48615 971186 13419
5000 1376132 51485 1028372 14199
5500 1453366 54381 1086102 14990
6000 1529428 57228 1142882 15774
6500 1606807 60094 1200613 16560
7000 1683689 62993 1258593 17350
7500 1760132 65833 1315476 18142
8000 1836253 68686 1372460 18926
8500 1912357 71508 1429161 19816
9000 1988751 74373 1485986 20585
9500 2064843 77244 1542830 21354
10000 2141482 80078 1599813 22138
11000 2217475 82908 1656605 22923
12000 2293461 85720 1713308 23716
13000 2369597 88571 1770104 24503
14000 2445628 91404 1826853 25290
15000 2521765 94266 1883627 26076
16000 2597801 97132 1940388 26858
17000 2674186 99973 1997166 27647
18000 2750377 102836 2053899 28432
19000 2826802 105687 2110755 29218
20000 2903092 108536 2167753 30003
21000 2979302 111373 2224603 30788
22000 3055544 114183 2281338 31571
23000 3131675 117018 2338125 32360
24000 3208035 119873 2395043 33145
25000 3284143 122697 2451770 33915
26000 3360421 125574 2508542 34689
27000 3436750 128437 2565592 35472
28000 3512969 131254 2622361 36265
29000 3589114 134069 2678903 37045
30000 3665244 136936 2735563 37828
31000 3741524 139783 2792811 38614
32000 3817893 142627 2850016 39397
33000 3893975 145475 2906763 40196
34000 3970152 148291 2963386 40958
35000 4046493 151154 3020251 41731
36000 4122584 154010 3076974 42497
37000 4198574 156859 3133796 43266
38000 4275003 159716 3190538 44034
39000 4350993 162574 3247237 44800
40000 4427065 165430 3304407 45575
41000 4503077 168260 3361296 46360
42000 4579106 171096 3418139 47140
43000 4655162 173936 3474797 47921
44000 4731611 176760 3531651 48703
45000 4807620 179598 3588341 49484
46000 4883804 182443 3645077 50263
47000 4960284 185296 3701952 51025
48000 5036899 188099 3758861 51798
49000 5113248 190911 3816193 52565
50000 5189919 193711 3873090 53326
51000 5266285 196545 3930098 54084
52000 5343439 199410 3987796 54853
53000 5420463 202329 4045589 55619
54000 5497793 205256 4103648 56400
55000 5574879 208161 4161015 57169
56000 5651700 211023 4218462 57938
57000 5729224 213938 4276854 58716
58000 5805922 216861 4334500 59493
59000 5881967 219783 4391246 60278
60000 5958187 222647 4448291 61058
61000 6034340 225496 4505067 61841
62000 6110589 228339 4562048 62620
63000 6186664 231178 4618775 63387
64000 6265497 234028 4677287 64160
65000 6342504 236856 4734500 64950
66000 6419279 239671 4792325 65739
67000 6495384 242533 4849038 66523
