Size BST-Insert BST-Find AVL-Insert ABL-Find
100 18338 841 55270 764
200 36717 1683 110231 1520
300 54762 2526 165206 2279
400 72935 3365 220260 3042
500 90987 4205 275244 3797
600 109079 5050 330251 4556
700 127178 5892 385297 5314
800 145276 6733 440213 6067
900 163271 7574 495136 6827
1000 181242 8413 550593 7582
1500 199268 9254 605475 8341
2000 217251 10096 660651 9100
2500 235222 10935 715712 9857
3000 253412 11785 771097 10615
3500 271168 12619 825407 11359
4000 288853 13441 879577 12103
4500 306555 14267 933516 12838
5000 324248 15091 987866 13575
5500 342057 15918 1042429 14314
6000 359801 16745 1096638 15049
6500 377559 17566 1150618 15789
7000 395373 18392 1204996 16537
7500 413107 19211 1259157 17278
8000 430820 20037 1313059 18016
8500 459411 21020 1399409 19073
9000 484092 22972 1482607 20000
9500 510054 23979 1557919 21381
10000 539545 24941 1650334 22328
11000 588246 26983 1778130 25568
12000 619689 28176 1879736 27224
13000 638335 29090 1937235 28009
14000 656335 29927 1992089 28760
15000 674179 30755 2047005 29510
16000 691970 31578 2101192 30251
17000 709746 32406 2155235 30991
18000 727436 33231 2209355 31734
19000 745175 34063 2263485 32473
20000 762898 34895 2317699 33217
21000 780594 35724 2371719 33959
22000 798668 36552 2426256 34699
23000 816341 37380 2480263 35438
24000 834229 38207 2534989 36186
25000 851889 39029 2589034 36920
26000 869881 39853 2643879 37668
27000 887618 40683 2697982 38411
28000 905339 41505 2752102 39150
29000 923022 42322 2806124 39890
30000 940732 43147 2860272 40627
31000 958434 43967 2914224 41367
32000 977562 44867 2972551 42299
33000 997336 46210 3036600 43347
34000 1015681 47134 3093221 44114
35000 1033382 47965 3147761 44837
36000 1053399 48817 3204722 45612
37000 1072045 49828 3263301 46509
38000 1089742 50657 3317527 47252
39000 1107639 51568 3372531 48008
40000 1125366 52438 3426669 48752
41000 1143013 53258 3480730 49491
42000 1160684 54078 3534712 50236
43000 1178359 54897 3588923 50975
44000 1196060 55716 3643122 51717
45000 1213783 56539 3697115 52459
46000 1231608 57356 3751486 53203
47000 1249305 58171 3805897 53943
48000 1267011 58997 3860157 54683
49000 1284732 59820 3914628 55422
50000 1302795 60655 3969190 56168
51000 1320994 61495 4024292 56922
52000 1339059 62337 4079500 57683
53000 1357283 63185 4134847 58440
54000 1375333 64030 4190338 59200
55000 1393138 64863 4245019 59945
56000 1410869 65686 4299491 60691
57000 1428736 66509 4353671 61433
58000 1446754 67337 4407810 62181
59000 1464563 68159 4461812 62921
60000 1482395 68992 4515986 63666
61000 1500129 69817 4570196 64410
62000 1518065 70638 4624554 65153
63000 1535785 71459 4678850 65895
64000 1554053 72287 4734123 66654
65000 1572273 73127 4789381 67409
66000 1590355 73956 4844725 68159
67000 1608402 74787 4900036 68968
68000 1626487 75624 4955083 69703
69000 1644543 76474 5010192 70441
70000 1662550 77329 5066706 71213
71000 1680563 78154 5121370 71963
72000 1698276 78975 5175344 72706
73000 1715983 79797 5229297 73446
74000 1733985 80628 5284049 74195
