Size BST-Insert BST-Find AVL-Insert ABL-Find
100 76446 2796 56745 808
200 152550 5575 113195 1602
300 228506 8367 169603 2394
400 304665 11167 226283 3197
500 380940 13937 282922 4000
600 457145 16727 339664 4805
700 533219 19532 396554 5600
800 609249 22335 452872 6396
900 685341 25129 509339 7188
1000 761312 27910 565660 7982
1500 837399 30675 622229 8783
2000 913545 33451 678686 9577
2500 989545 36221 735250 10369
3000 1065643 38987 791778 11164
3500 1142211 41749 848295 11966
4000 1218321 44516 904780 12759
4500 1294313 47279 961315 13556
5000 1370416 50051 1017724 14349
5500 1446845 52817 1074120 15143
6000 1522912 55589 1130660 15935
6500 1598947 58353 1187159 16727
7000 1675001 61126 1243734 17520
7500 1751060 63900 1300190 18312
8000 1827468 66672 1356685 19104
8500 1903656 69458 1413214 19898
9000 1979712 72243 1469867 20692
9500 2055770 75023 1526325 21483
10000 2132191 77797 1582759 22274
11000 2208179 80581 1639123 23065
12000 2284293 83378 1695643 23858
13000 2363300 86275 1754164 24673
14000 2442114 89140 1812830 25505
15000 2518250 91912 1869226 26308
16000 2594238 94687 1925626 27099
17000 2670308 97454 1981976 27900
18000 2746386 100216 2038521 28759
19000 2822528 102976 2094891 29555
20000 2899074 105752 2151369 30350
21000 2975448 108521 2207970 31153
22000 3051444 111306 2264906 31985
23000 3127309 114115 2321832 32779
24000 3203140 116913 2378674 33573
25000 3279022 119709 2435305 34373
26000 3354929 122522 2491955 35163
27000 3430809 125304 2548507 35961
28000 3506709 128135 2605349 36757
29000 3582525 130937 2661815 37552
30000 3658562 133718 2718375 38346
31000 3734594 136481 2774997 39143
32000 3810878 139263 2831666 39933
33000 3886752 142046 2888067 40729
34000 3962594 144857 2944533 41518
35000 4038818 147649 3001242 42315
36000 4114684 150437 3057638 43111
37000 4190522 153243 3114145 43905
38000 4266427 156028 3170640 44701
39000 4342262 158868 3227125 45492
40000 4418098 161680 3283713 46289
41000 4494609 164484 3340537 47090
42000 4570559 167267 3397273 47894
43000 4646735 170045 3454007 48698
44000 4722566 172834 3510556 49492
45000 4798644 175615 3567248 50300
46000 4874611 178416 3623856 51099
47000 4950714 181207 3680637 51895
48000 5026713 183988 3737241 52699
49000 5102763 186795 3793811 53494
50000 5178691 189600 3850550 54288
51000 5254927 192402 3906841 55077
52000 5330853 195187 3963307 55876
53000 5406692 197987 4019589 56668
54000 5482792 200897 4076248 57465
55000 5558757 203690 4132952 58260
56000 5634656 206463 4189594 59075
57000 5710475 209244 4245959 59871
58000 5786365 212038 4302386 60668
59000 5864343 214842 4360129 61462
60000 5940329 217623 4416536 62256
61000 6016408 220389 4473071 63053
62000 6092403 223160 4529474 63847
63000 6168242 225955 4586037 64649
64000 6244185 228740 4642514 65447
65000 6320375 231528 4698919 66247
66000 6396319 234304 4755518 67042
67000 6472128 237095 4811902 67839
68000 6547862 239875 4868210 68640
69000 6623714 242657 4924727 69437
70000 6699557 245436 4981173 70239
71000 6775395 248224 5037649 71034
72000 6851167 251006 5094127 71831
73000 6927442 253797 5150524 72636
74000 7004252 256600 5207398 73445
75000 7080221 259423 5264061 74240
76000 7156165 262225 5320548 75035
77000 7232487 265002 5377435 75832
78000 7308405 267826 5433834 76633
79000 7384291 270637 5490377 77425
80000 7460331 273427 5546706 78213
81000 7536905 276197 5603236 79009
82000 7613018 278989 5659614 79799
83000 7689165 281770 5716162 80592
84000 7765244 284542 5772640 81392
85000 7841064 287352 5828996 82185
86000 7917066 290166 5885447 82975
87000 7993342 292982 5942211 83772
88000 8069360 295769 5998715 84565
89000 8145459 298575 6055159 85360
90000 8221742 301381 6111791 86158
91000 8297755 304191 6168415 86958
92000 8373709 306991 6225022 87754
93000 8449614 309806 6281619 88549
94000 8525652 312612 6338450 89357
95000 8601579 315396 6395098 90154
96000 8677643 318206 6451617 90948
97000 8753478 320989 6508112 91745
98000 8829418 323799 6564549 92545
99000 8905454 326813 6621050 93341
100000 8981339 329608 6677462 94138
101000 9057227 332431 6733958 94932
102000 9133092 335248 6790470 95725
103000 9209239 338060 6846925 96522
104000 9285547 340867 6903325 97319
105000 9361655 343692 6959804 98112
106000 9437779 346479 7016297 98908
107000 9513604 349280 7072657 99702
108000 9589829 352076 7129326 100502
109000 9666115 354874 7186058 101301
110000 9741972 357660 7242735 102091
111000 9817884 360488 7299283 102888
112000 9893831 363308 7355644 103679
113000 9970292 366094 7412171 104467
114000 10046269 368865 7468517 105265
115000 10123019 371656 7525281 106062
116000 10199129 374437 7581828 106857
117000 10275135 377236 7638266 107644
118000 10351176 380028 7694566 108437
119000 10427285 382833 7751057 109230
120000 10503295 385632 7807510 110024
121000 10579329 388410 7863999 110818
122000 10655609 391224 7920508 111611
