Size BST-Insert AVL-Insert BST-Find AVL-Find
1 45 2744 177 191
2 136 672 157 163
3 208 824 308 228
4 272 783 296 209
5 324 938 439 504
6 343 940 430 529
7 420 965 587 297
8 444 901 542 301
9 535 1057 641 527
10 555 1060 630 590
11 620 1089 752 526
12 589 1048 755 587
13 687 1052 900 714
14 697 1066 892 697
15 705 1074 1067 365
16 787 1040 1040 359
17 825 1235 1137 662
18 949 1205 1108 647
19 1025 1224 1202 582
20 1029 1208 1197 647
21 1069 1211 1407 764
22 1145 1235 1407 759
23 1180 1251 1504 597
24 1220 1216 1474 662
25 1295 1221 1557 806
26 1299 1199 1564 798
27 1219 1165 1504 780
28 1588 1214 1462 778
29 1355 1220 1578 917
30 1368 1214 1582 908
31 1394 1215 1808 422
32 1649 1207 1826 423
33 1689 1450 1903 860
34 1692 1333 1908 833
35 1811 1350 2178 717
36 2189 1353 2211 709
37 1940 1392 2364 867
38 1992 1390 2339 844
39 2053 1356 2307 632
40 2085 1323 2293 748
41 2043 1380 2447 985
42 1982 1350 2400 955
43 2197 1391 2629 902
44 2389 1353 2608 887
45 2400 1385 2673 995
46 2330 1351 2688 1000
47 2472 1387 2788 634
48 2512 1343 2869 683
49 2309 1357 2960 997
50 2441 1370 3210 985
51 2367 1378 3036 839
52 2680 1383 3088 846
53 2806 1409 2990 975
54 2831 1398 2989 974
55 2856 1415 3124 871
56 2814 1388 3035 849
57 2971 1420 3112 1062
58 2807 1332 3077 1049
59 3057 1409 3048 922
60 3032 1434 3002 903
61 3110 1479 3863 1027
62 3030 1413 3440 1032
63 3234 1396 3972 482
64 3057 1324 3637 484
65 3102 1414 3730 997
66 3142 1452 3938 960
67 3412 1488 3972 796
68 3457 1477 3892 797
69 3523 1486 4104 996
70 3558 1455 4150 1001
71 3322 1453 4227 802
72 3625 1418 4193 787
73 3443 1432 4227 1053
74 3331 1431 4197 1044
75 3367 1492 4339 912
76 3404 1488 4326 915
77 3879 1519 4575 1087
78 3920 1521 4626 1092
79 4018 1513 4949 660
80 3754 1460 4702 787
81 3798 1445 4451 1134
82 4150 1524 4392 1120
83 3999 1501 4514 1139
84 4108 1551 4393 996
85 3959 1454 5004 1114
86 4305 1533 5202 1107
87 3956 1503 4877 911
88 4218 1485 4850 904
89 4065 1505 5278 1142
90 4353 1581 5307 1140
91 4398 1527 5413 1084
92 4314 1586 5384 1077
93 4394 1622 5509 1209
94 4332 1509 5469 1191
95 4283 1516 5644 698
96 4821 1535 5855 726
97 4847 1523 5333 1161
98 4880 1441 5083 1131
99 4926 1450 5378 1034
100 4854 1443 5386 1029
101 4820 1487 5264 1223
102 5175 1484 5213 1205
103 5098 1542 5829 956
104 4772 1457 5835 963
105 4843 1493 6152 1243
106 5212 1506 6158 1272
107 5197 1528 6364 1102
108 4918 1502 6190 1115
109 4939 1493 6140 1344
110 4877 1531 6075 1261
111 4998 1473 6510 904
112 5134 1497 6532 895
113 5376 1514 6610 1170
114 5696 1520 6422 1167
115 5402 1576 6450 1057
116 5592 1515 6512 1010
117 5447 1514 6738 1302
118 5805 1520 6819 1273
119 5877 1497 6855 1001
120 5700 1522 6842 1014
121 5863 1496 6774 1237
122 5715 1473 6707 1222
123 6107 1570 7062 1172
124 6033 1547 7345 1160
125 5710 1500 7359 1344
126 6246 1743 7287 1323
127 6519 1502 7252 528
128 6217 1516 7149 521
129 6135 1569 7317 1061
130 6352 1697 7521 1045
131 6153 1628 6949 1012
132 6202 1622 6880 986
133 6589 1665 7610 1132
134 6341 1631 7616 1107
135 6665 1678 7812 892
136 6468 1605 8235 870
137 6492 1585 7978 1116
138 6537 1620 7966 1114
139 6852 1753 7752 1089
140 6980 1616 7708 1091
141 6404 1589 7826 1166
142 7068 1654 7908 1195
143 7026 1612 8186 787
144 6939 1577 8182 777
145 6684 1550 7630 1072
146 6824 1576 7561 1052
147 7069 1647 7391 1036
148 6820 1566 7381 1026
149 6941 1647 7488 1175
150 7345 1636 7703 1153
151 7063 1602 7561 943
152 7103 1602 7548 942
153 7525 1632 7719 1235
154 7206 1614 7707 1195
155 7782 1699 9011 1040
156 7805 1691 8934 1044
157 7801 1663 8682 1269
158 7579 1657 8647 1266
159 7369 1638 8770 757
160 7458 1596 8855 813
161 7883 1652 9029 1170
162 8047 1640 9008 1167
163 7927 1655 9123 1105
164 7900 1638 8951 1082
165 7925 1672 8786 1353
166 8294 1880 9007 1335
167 8049 1666 9447 972
168 7851 1604 9514 983
169 8332 1625 9427 1235
170 8013 1611 9402 1250
171 8329 1672 10000 1172
172 7680 1528 9754 1382
173 7710 1534 8696 1294
174 8384 1616 8658 1277
175 8417 1647 9267 965
176 7750 1544 9494 947
177 8313 1597 8974 1287
178 7950 1570 8966 1233
179 7720 1580 9585 1249
180 7887 1586 9636 1227
181 8951 1672 9760 1413
182 8588 1668 9751 1375
183 8409 1713 9495 1152
184 9048 1677 9410 1132
185 8722 1672 9590 1368
186 8342 1676 9526 1304
187 8821 1689 9570 1217
188 9158 1707 9571 1220
189 9197 1678 9522 1372
190 9028 1661 9494 1378
191 8800 1638 10727 740
192 9528 1697 10608 794
193 9165 1632 11117 1235
194 9459 1673 11049 1212
195 9019 1629 10914 1174
196 8629 1598 10901 1125
197 8841 1635 11072 1277
198 9228 1658 11055 1278
199 9833 1704 11196 1013
200 9272 1630 11248 1010
201 9001 1623 10389 1359
202 9090 1628 10339 1347
203 9471 1728 11583 1154
204 9314 1652 11616 1181
205 9386 1675 11217 1376
206 9195 1609 11183 1279
207 9791 1670 10536 973
208 10187 1631 10522 967
209 9330 1583 10705 1292
210 9963 1659 10749 1295
211 10383 1672 11519 1167
212 9315 1637 11539 1200
213 10507 1691 11906 1282
214 10099 1653 11882 1302
215 10245 1709 10848 1143
216 9860 1659 10756 1138
217 10033 1640 10951 1333
218 10693 1661 10950 1351
219 9603 1603 10749 1240
220 10159 1634 10718 1234
221 9596 1648 11205 1252
222 10084 1647 11232 1229
223 9932 1603 12049 935
224 9829 1673 12029 927
225 10066 1640 12559 1290
226 9942 1629 12543 1286
227 9966 1645 12539 1247
228 9947 1639 12553 1236
229 10242 1626 11866 1348
230 10371 1729 11860 1340
231 10223 1701 12385 1146
232 10252 1644 12445 1140
233 10308 1650 12115 1360
234 10309 1592 12073 1319
235 10083 1679 13087 1273
236 10802 1649 13229 1651
237 11368 1653 13542 1416
238 11142 1693 13434 1403
239 10259 1574 13485 1052
240 10690 1648 13454 1067
241 10988 1796 13606 1372
242 11886 1665 13590 1332
243 10760 1610 13160 1295
244 11893 1684 13189 1307
245 11929 1670 13940 1386
246 11244 1629 13868 1405
247 11594 1643 13269 1211
248 12107 1676 13252 1193
249 12184 1662 12644 1443
250 11757 1694 12683 1432
251 11841 1683 14457 1306
252 12062 1691 14392 1317
253 11521 1625 14140 1509
254 11410 1673 14092 1475
255 11732 1684 13836 580
256 12180 1682 13848 580
257 11815 1824 13107 1245
258 12671 1742 13195 1221
259 12722 1761 14053 1140
260 11837 1707 14080 1154
261 12613 1743 13614 1259
262 12849 1758 13607 1246
263 12881 1767 14679 1087
264 12530 1789 14760 1076
265 11833 1770 15149 1277
266 11924 1782 15112 1264
267 11784 1800 15111 1292
268 12290 1817 15117 1257
269 12340 1824 15822 1323
270 11832 1781 15402 1348
271 11733 1792 15319 954
272 11785 1740 15352 952
273 11920 1792 14697 1159
274 12020 1802 14797 1159
275 11968 1776 15519 1172
276 12163 1859 15511 1163
277 12045 1778 15799 1306
278 12122 1794 15844 1300
279 12263 1841 15412 1160
280 12250 1779 15359 1132
281 12959 1857 14193 1317
282 12425 1832 14271 1297
283 12434 1865 15695 1292
284 12976 1723 16433 1277
285 13639 1793 15650 1409
286 13997 1784 15553 1377
287 13905 1811 16094 912
288 13147 1772 16153 850
289 13848 1800 15358 1170
290 14224 1751 15600 1177
291 13247 1718 16313 1197
292 14207 1744 16342 1179
293 13887 1784 15610 1339
294 13937 1775 15545 1304
295 13505 1848 15133 1090
296 14386 1756 15155 1081
297 14194 1822 16883 1322
298 14238 1931 16727 1295
299 14420 1766 17737 1227
300 12918 1712 17187 1223
301 13193 1715 16925 1390
302 13257 1746 16968 1369
303 14582 1844 17117 1007
304 13713 1867 17073 982
305 13849 1780 17306 1366
306 13628 1775 17309 1366
307 13552 1793 17350 1267
308 13753 1790 17567 1232
309 13805 1867 17126 1474
310 13858 1857 17051 1430
311 14720 1823 17202 1160
312 13639 1733 17160 1147
313 13835 1770 17200 1392
314 14592 1784 17215 1363
315 14272 1808 16682 1272
316 14349 1770 16800 1260
317 13793 1773 17847 1414
318 14037 1811 18126 1430
319 14501 1806 18186 782
320 14665 1765 18026 843
321 15271 1847 18242 1307
322 15591 1794 18197 1300
323 15388 1812 17743 1249
