Size BST-Insert AVL-Insert BST-Find AVL-Find
1 50 626 190 207
2 149 639 182 183
3 219 867 318 413
4 259 779 302 386
5 267 753 467 250
6 316 921 411 304
7 198 755 534 394
8 122 873 565 457
9 187 1049 617 553
10 292 870 614 553
11 324 1055 807 619
12 204 875 759 602
13 245 1022 572 695
14 341 877 564 689
15 429 1095 342 496
16 414 1127 355 501
17 458 1056 434 573
18 415 1221 418 560
19 370 1232 756 744
20 437 1052 740 729
21 252 1028 824 705
22 335 1268 791 612
23 504 1201 666 640
24 484 1268 657 735
25 325 1198 750 770
26 477 1182 754 752
27 322 1206 807 619
28 297 1148 765 575
29 471 1200 913 685
30 188 1227 889 647
31 572 1202 925 534
32 612 1226 905 542
33 474 1204 992 771
34 652 1253 989 764
35 632 1241 998 777
36 517 1249 1018 775
37 686 1199 920 765
38 713 1337 914 753
39 519 1352 1043 765
40 797 1395 1038 729
41 601 1345 555 564
42 608 1222 535 536
43 792 1513 809 526
44 609 1537 753 516
45 835 1340 1019 604
46 359 1379 976 587
47 671 1318 1232 590
48 319 1057 1282 620
49 484 1309 794 742
50 494 1475 781 737
51 710 1512 1100 931
52 276 1494 1101 940
53 864 1566 855 1013
54 381 1212 834 985
55 446 1457 842 1118
56 852 1542 847 1110
57 430 1349 1035 926
58 534 1400 1013 897
59 537 1411 605 1015
60 535 1488 574 956
61 595 1528 1348 965
62 356 1317 1320 945
63 370 1368 1537 871
64 530 1498 1530 882
65 543 1511 1282 962
66 250 1490 1269 914
67 305 1461 1536 1140
68 917 1618 1484 1134
69 380 1518 1333 1131
70 979 1579 1323 1108
71 475 1372 1224 1113
72 347 1367 1186 1059
73 331 1430 1803 852
74 653 1529 1778 850
75 454 1423 1828 1142
76 491 1473 1802 1130
77 645 1562 1374 956
78 697 1387 1370 935
79 730 1561 1875 1233
80 586 1401 1807 1229
81 701 1233 1415 929
82 558 1755 1412 881
83 554 1495 1405 1142
84 779 1461 1378 1135
85 433 1224 1988 1067
86 330 1349 1979 1058
87 585 1312 1539 823
88 232 1602 1554 818
89 935 1331 1974 960
90 504 1471 1983 959
91 602 1456 1065 848
92 548 1486 1067 813
93 625 1682 1758 991
94 488 1583 1746 943
95 442 1562 772 1053
96 442 1460 754 1063
97 586 1498 1344 1082
98 335 1160 1344 1051
99 520 1282 1332 1012
100 566 1515 1330 1012
101 604 1329 1702 1049
102 545 1325 1654 1000
103 582 1504 840 1048
104 366 1555 836 1021
105 627 1731 2037 1233
106 588 1456 1992 1195
107 636 1497 1027 929
108 455 1553 989 900
109 531 1370 1134 1106
110 672 1717 1127 1227
111 653 1493 2001 983
112 606 1455 1985 979
113 655 1350 1167 940
114 706 1497 1157 938
115 639 1562 1225 1160
116 433 1345 1273 1150
117 686 1513 1267 879
118 536 1436 1256 872
119 712 1698 1325 782
120 859 1497 1303 756
121 631 1672 1423 1120
122 655 1643 1405 1082
123 481 1481 1023 935
124 516 1482 1023 845
125 485 1613 919 834
126 428 1491 837 820
127 626 1713 1444 1066
128 682 1327 1425 1073
129 711 1370 1523 988
130 540 1446 1520 954
131 431 1504 807 1211
132 632 1497 805 1172
133 899 1500 1068 999
134 512 1581 1051 970
135 440 1544 2032 1205
136 526 1532 1974 1180
137 914 1313 1094 1212
138 506 1329 1085 1207
139 478 1680 2232 1043
140 502 1484 2171 1036
141 578 1458 1116 761
142 337 1412 1094 753
143 613 1461 1059 1173
144 694 1491 1039 1139
145 954 1574 857 886
146 559 1725 855 979
147 788 1702 1501 1123
148 817 1717 1485 1105
149 473 1672 1220 1260
150 732 1469 1194 1235
151 501 1493 1266 1092
152 612 1731 1265 1092
153 395 1361 1630 1103
154 696 1582 1604 1114
155 348 1620 1710 1094
156 627 1617 1707 1095
157 696 1330 1304 1098
158 853 1697 1260 1094
159 760 1878 1435 1243
160 642 1512 1401 1208
161 563 1432 1562 1113
162 655 1659 1542 1107
