Size BST-Insert AVL-Insert BST-Find AVL-Find
1 49 2241 179 197
2 140 636 159 169
3 205 838 314 228
4 267 780 295 215
5 322 929 447 503
6 349 930 435 532
7 424 979 591 300
8 449 888 554 300
9 537 1072 651 532
10 557 1085 633 599
11 624 1098 756 530
12 597 1071 761 588
13 692 1065 906 720
14 698 1073 898 702
15 708 1081 1086 362
16 799 1055 1045 364
17 834 1197 1147 675
18 956 1221 1118 655
19 1037 1231 1212 587
20 1029 1220 1205 654
21 1078 1220 1414 776
22 1159 1250 1419 758
23 1188 1271 1519 648
24 1231 1226 1496 668
25 1306 1229 1574 811
26 1312 1210 1579 811
27 1231 1174 1514 783
28 1424 1228 1479 791
29 1367 1226 1598 919
30 1378 1226 1601 910
31 1407 1230 1828 435
32 1662 1225 1843 427
33 1706 1351 1922 876
34 1704 1347 1926 851
35 2006 1705 2258 752
36 1967 1432 2278 732
37 1999 1445 2433 924
38 2057 1435 2415 877
39 2129 1408 2390 662
40 2163 1372 2373 773
41 2119 1421 2532 1035
42 2056 1395 2499 993
43 2278 1712 2718 945
44 2271 1406 2703 918
45 2494 1464 2773 1025
46 2420 1395 2785 1024
47 2555 1426 2885 652
48 2698 1393 2961 706
49 2400 1394 3049 1035
50 2538 1413 3023 1030
51 2455 1414 3138 866
52 2775 1429 3327 879
53 3231 1458 3100 1007
54 2929 1455 3085 1132
55 2948 1461 3227 901
56 2917 1441 3140 874
57 3072 1468 3224 1105
58 2917 1393 3191 1099
59 3173 1456 3812 959
60 3149 1511 3256 939
61 3223 1466 3648 1067
62 3145 1472 3561 1066
63 3447 1449 3762 494
64 3175 1380 3655 496
65 3220 1463 3858 1029
66 3257 1502 3910 997
67 3532 1537 3994 826
68 3595 1538 4023 830
69 3665 1531 4246 1027
70 3694 1512 4277 1032
71 3761 1494 4257 823
72 3580 1461 4227 797
73 3804 1442 4268 1071
74 3484 1455 4317 1057
75 3401 1501 4383 931
76 3441 1502 4516 923
77 3525 1539 4615 1107
78 3955 1540 4656 1112
79 4141 1515 4972 670
80 3903 1552 4850 812
81 3946 1500 4617 1175
82 4424 1578 4612 1153
83 4141 1564 4539 1064
84 4244 1557 4799 1031
85 4107 1501 4937 1150
86 4464 1580 4963 1136
87 9772 1547 4913 931
88 4273 1535 4897 913
89 4107 1520 5338 1153
90 4395 1524 5355 1156
91 4442 1547 5385 1101
92 4602 1530 5569 1117
93 4577 1646 5765 1250
94 4518 1598 5665 1239
95 4587 1571 5835 712
96 4927 1560 5707 737
97 4904 1538 5244 1178
98 4809 1453 5126 1143
99 4845 1465 5434 1044
100 5034 1455 5487 1033
101 4812 1507 5277 1237
102 5120 1502 5262 1225
103 5145 1552 5889 968
104 4821 1467 5886 973
105 4890 1508 6210 1260
106 5256 1527 6398 1245
107 5132 1544 6338 1114
108 5006 1517 6249 1131
109 4987 1510 6198 1311
110 5012 1547 6128 1281
111 5046 1481 6516 912
112 5182 1505 6597 903
113 5469 1517 6552 1184
114 5748 1542 6488 1175
115 5442 1581 6521 1088
116 5647 1517 7034 1019
117 5551 1527 6805 1322
118 5735 1537 6750 1339
119 5934 1525 6923 1010
120 5772 1537 6911 1027
121 5824 1512 6840 1252
122 5678 1486 6860 1239
123 6317 1550 7230 1180
124 6106 2949 7216 1170
125 5885 1529 7393 1366
126 6326 1561 7777 1341
127 6682 1613 7358 546
128 6450 1565 7659 545
129 6229 1625 7576 1101
130 6597 1693 7566 1082
131 6411 1677 10647 1042
132 7032 1668 6953 990
133 6610 1680 7683 1147
134 7253 1645 7996 1159
135 6740 1712 7878 912
136 6553 1635 8032 883
137 6374 1599 8005 1128
138 10388 1654 7997 1127
139 6920 1713 7946 1106
140 7062 1644 7786 2166
141 6469 1617 7896 1179
142 7138 1678 8010 1207
143 7099 1764 8391 798
144 7007 1591 8488 784
145 6619 1745 7712 1077
146 6885 1587 7623 1059
147 7113 1658 7446 1040
148 6970 1580 7480 1034
149 6990 1671 7548 1187
150 7399 1697 7532 1157
151 7680 1622 7879 2615
152 7445 1687 8023 947
153 7794 1717 7968 1274
154 7467 1690 7963 1227
155 8063 1754 9204 1078
156 8102 1741 10413 1072
157 7854 1696 8734 1540
158 7611 1667 8698 1278
159 7412 1642 8811 762
160 7509 1600 8862 821
161 7937 1655 9078 1180
162 8439 1653 9858 1175
163 9010 1661 12185 1140
164 7949 2235 9009 1097
165 8055 1687 8839 1353
166 8347 1890 8843 1342
167 8102 1672 9510 986
168 7875 1598 13524 997
169 9481 1632 9822 1289
170 10177 1728 9886 1292
171 8625 1748 10124 1197
172 8110 1975 10072 1120
173 9044 3748 17910 1331
174 8952 1670 9163 1325
